Machado,Drosophila simulans,38,I,North America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452755,SRR2859116,Machado:Bowdoin:Maine:North America:Oct:01:2011:B_13_1
Machado,Drosophila simulans,38,I,North America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452756,SRR2859117,Machado:Bowdoin:Maine:North America:Oct:01:2011:B_15_1
Machado,Drosophila simulans,38,I,North America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452757,SRR2859118,Machado:Bowdoin:Maine:North America:Oct:01:2011:B_17_1
Machado,Drosophila simulans,38,I,North America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452758,SRR2859119,Machado:Bowdoin:Maine:North America:Oct:01:2011:B_19_1
Machado,Drosophila simulans,38,I,North America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452759,SRR2859120,Machado:Bowdoin:Maine:North America:Oct:01:2011:B_21_1
Machado,Drosophila simulans,38,I,North America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452760,SRR2859121,Machado:Bowdoin:Maine:North America:Oct:01:2011:B_23_1
Machado,Drosophila simulans,38,I,North America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452750,SRR2859122,Machado:Bowdoin:Maine:North America:Oct:01:2011:B_3_1
Machado,Drosophila simulans,38,I,North America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452751,SRR2859123,Machado:Bowdoin:Maine:North America:Oct:01:2011:B_5_1
Machado,Drosophila simulans,38,I,North America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452752,SRR2859124,Machado:Bowdoin:Maine:North America:Oct:01:2011:B_7_1
Machado,Drosophila simulans,38,I,North America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452753,SRR2859125,Machado:Bowdoin:Maine:North America:Oct:01:2011:B_9_1
Machado,Drosophila simulans,50,I,North America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452925,SRR2859126,Machado:Charlottesville:Virginia:North America:Sep:01:2010:C_1_1
Machado,Drosophila simulans,50,I,North America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452930,SRR2859128,Machado:Charlottesville:Virginia:North America:Sep:01:2010:C_11_1
Machado,Drosophila simulans,50,I,North America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452844,SRR2859129,Machado:Linvilla:Pennsylvania:North America:Sep:01:2011:C_12_1
Machado,Drosophila simulans,50,I,North America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452931,SRR2859130,Machado:Charlottesville:Virginia:North America:Sep:01:2010:C_13_1
Machado,Drosophila simulans,50,I,North America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452932,SRR2859132,Machado:Charlottesville:Virginia:North America:Sep:01:2010:C_15_1
Machado,Drosophila simulans,50,I,North America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452846,SRR2859133,Machado:Linvilla:Pennsylvania:North America:Sep:01:2011:C_16_1
Machado,Drosophila simulans,50,I,North America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452933,SRR2859134,Machado:Charlottesville:Virginia:North America:Sep:01:2010:C_17_1
Machado,Drosophila simulans,50,I,North America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452847,SRR2859135,Machado:Linvilla:Pennsylvania:North America:Sep:01:2011:C_18_1
